"","Artists_names","titles","links"
"60","Shona Van Dam","Untitled (2004)","https://collections.ed.ac.uk/art/record/21791?highlight=*:*"
"61","Amelia Smith","Untitled (2006)","https://collections.ed.ac.uk/art/record/99863?highlight=*:*"
"62","James Bowman","Unknown (1950)","https://collections.ed.ac.uk/art/record/50610?highlight=*:*"
"63","James Lennox","Portrait of a Bearded Man (1956)","https://collections.ed.ac.uk/art/record/21192?highlight=*:*"
"64","Peter G. Collins","Unknown (1957)","https://collections.ed.ac.uk/art/record/50399?highlight=*:*"
"65","L Weir","Reclining Male Nude (Feb 1951)","https://collections.ed.ac.uk/art/record/21223?highlight=*:*"
"66","Isobel L Alexander","Isobel L Alexander sampler (1944)","https://collections.ed.ac.uk/art/record/102668?highlight=*:*"
"67","Esther Tacke","Unknown (1994)","https://collections.ed.ac.uk/art/record/21914?highlight=*:*"
"68","John Houston","Standing Man with Scythe","https://collections.ed.ac.uk/art/record/21046?highlight=*:*"
"69","Zygmunt Bukowski","Male Nude with Staff (verso)","https://collections.ed.ac.uk/art/record/22654?highlight=*:*"
"70","Olivia Cochrane","Portrait of a Woman (1939)","https://collections.ed.ac.uk/art/record/21132?highlight=*:*"
"71","David Rifat","Seated Female Nude (1958)","https://collections.ed.ac.uk/art/record/20873?highlight=*:*"
"72","Hazel Holmes","Back of Bennachie","https://collections.ed.ac.uk/art/record/21623?highlight=*:*"
"73","Kenneth R Duffy","Unknown (1968)","https://collections.ed.ac.uk/art/record/99514?highlight=*:*"
"74","Faye Banks","Felicity Who Went to Peru (1986)","https://collections.ed.ac.uk/art/record/21897?highlight=*:*"
"75","Pavlov Chailly","Study for picture 'Waking of Brynhildr' (1897)","https://collections.ed.ac.uk/art/record/50470?highlight=*:*"
"76","Rosemary Bagshaw","Unknown (1952)","https://collections.ed.ac.uk/art/record/53520?highlight=*:*"
"77","Emma Gillies","Plate","https://collections.ed.ac.uk/art/record/53729?highlight=*:*"
"78","James C. Y. Gavin","Standing Male Nude Leaning on Plinth (1959)","https://collections.ed.ac.uk/art/record/20876?highlight=*:*"
"79","Maureen Dawson","Untitled (1966)","https://collections.ed.ac.uk/art/record/99845?highlight=*:*"
"80","Eduardo Luigi Paolozzi KBE, RA","History of a Medium (1971)","https://collections.ed.ac.uk/art/record/21696?highlight=*:*"
"81","Andrew Mackenzie","Blue Waterfall","https://collections.ed.ac.uk/art/record/20751?highlight=*:*"
"82","Dorothy M. Peach","Untitled (1946)","https://collections.ed.ac.uk/art/record/21738?highlight=*:*"
"83","Unknown","Needle lace mat","https://collections.ed.ac.uk/art/record/102712?highlight=*:*"
"84","Michael Jannarelli","Untitled (1968)","https://collections.ed.ac.uk/art/record/22505?highlight=*:*"
"85","Sabine R","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21640?highlight=*:*"
"86","Douglas Gordon","Two Seated Women and One Standing Woman (1949)","https://collections.ed.ac.uk/art/record/21099?highlight=*:*"
"87","Unknown","Unknown (Unknown)","https://collections.ed.ac.uk/art/record/21867?highlight=*:*"
